Project Name,Language,Testament,Book,Stage,TotalTarget
Paschim Project,Kukna,OT,Ezekiel,Stage 4 (Theological Check),1273
Paschim Project,Kukna,OT,Ezekiel,Stage 4 (Consultant Check),1273
Paschim Project,Kukna,OT,Ezekiel,Stage 5 (Formatting Editing & Publishing),1273
Paschim Project,Kukna,OT,Daniel,Stage 1 (Drafting),357
Paschim Project,Kukna,OT,Daniel,Stage 2 (Community Check),357
Paschim Project,Kukna,OT,Daniel,Stage 3 (Linguist Check),357
Paschim Project,Kukna,OT,Daniel,Stage 4 (Theological Check),357
Paschim Project,Kukna,OT,Daniel,Stage 4 (Consultant Check),357
Paschim Project,Kukna,OT,Daniel,Stage 5 (Formatting Editing & Publishing),357
Paschim Project,Kukna,OT,Hosea,Stage 1 (Drafting),197
Paschim Project,Kukna,OT,Hosea,Stage 2 (Community Check),197
Paschim Project,Kukna,OT,Hosea,Stage 3 (Linguist Check),197
Paschim Project,Kukna,OT,Hosea,Stage 4 (Theological Check),197
Paschim Project,Kukna,OT,Hosea,Stage 4 (Consultant Check),197
Paschim Project,Kukna,OT,Hosea,Stage 5 (Formatting Editing & Publishing),197
Paschim Project,Kukna,OT,Joel,Stage 1 (Drafting),73
Paschim Project,Kukna,OT,Joel,Stage 2 (Community Check),73
Paschim Project,Kukna,OT,Joel,Stage 3 (Linguist Check),73
Paschim Project,Kukna,OT,Joel,Stage 4 (Theological Check),73
Paschim Project,Kukna,OT,Joel,Stage 4 (Consultant Check),73
Paschim Project,Kukna,OT,Joel,Stage 5 (Formatting Editing & Publishing),73
Paschim Project,Kukna,OT,Amos,Stage 1 (Drafting),146
Paschim Project,Kukna,OT,Amos,Stage 2 (Community Check),146
Paschim Project,Kukna,OT,Amos,Stage 3 (Linguist Check),146
Paschim Project,Kukna,OT,Amos,Stage 4 (Theological Check),146
Paschim Project,Kukna,OT,Amos,Stage 4 (Consultant Check),146
Paschim Project,Kukna,OT,Amos,Stage 5 (Formatting Editing & Publishing),146
Paschim Project,Kukna,OT,Obadiah,Stage 1 (Drafting),21
Paschim Project,Kukna,OT,Obadiah,Stage 2 (Community Check),21
Paschim Project,Kukna,OT,Obadiah,Stage 3 (Linguist Check),21
Paschim Project,Kukna,OT,Obadiah,Stage 4 (Theological Check),21
Paschim Project,Kukna,OT,Obadiah,Stage 4 (Consultant Check),21
Paschim Project,Kukna,OT,Obadiah,Stage 5 (Formatting Editing & Publishing),21
Paschim Project,Kukna,OT,Jonah,Stage 1 (Drafting),48
Paschim Project,Kukna,OT,Jonah,Stage 2 (Community Check),48
Paschim Project,Kukna,OT,Jonah,Stage 3 (Linguist Check),48
Paschim Project,Kukna,OT,Jonah,Stage 4 (Theological Check),48
Paschim Project,Kukna,OT,Jonah,Stage 4 (Consultant Check),48
Paschim Project,Kukna,OT,Jonah,Stage 5 (Formatting Editing & Publishing),48
Paschim Project,Kukna,OT,Micah,Stage 1 (Drafting),105
Paschim Project,Kukna,OT,Micah,Stage 2 (Community Check),105
Paschim Project,Kukna,OT,Micah,Stage 3 (Linguist Check),105
Paschim Project,Kukna,OT,Micah,Stage 4 (Theological Check),105
Paschim Project,Kukna,OT,Micah,Stage 4 (Consultant Check),105
Paschim Project,Kukna,OT,Micah,Stage 5 (Formatting Editing & Publishing),105
Paschim Project,Kukna,OT,Nahum,Stage 1 (Drafting),47
Paschim Project,Kukna,OT,Nahum,Stage 2 (Community Check),47
Paschim Project,Kukna,OT,Nahum,Stage 3 (Linguist Check),47
Paschim Project,Kukna,OT,Nahum,Stage 4 (Theological Check),47
Paschim Project,Kukna,OT,Nahum,Stage 4 (Consultant Check),47
Paschim Project,Kukna,OT,Nahum,Stage 5 (Formatting Editing & Publishing),47
Paschim Project,Kukna,OT,Habakkuk,Stage 1 (Drafting),56
Paschim Project,Kukna,OT,Habakkuk,Stage 2 (Community Check),56
Paschim Project,Kukna,OT,Habakkuk,Stage 3 (Linguist Check),56
Paschim Project,Kukna,OT,Habakkuk,Stage 4 (Theological Check),56
Paschim Project,Kukna,OT,Habakkuk,Stage 4 (Consultant Check),56
Paschim Project,Kukna,OT,Habakkuk,Stage 5 (Formatting Editing & Publishing),56
Paschim Project,Kukna,OT,Zephaniah,Stage 1 (Drafting),53
Paschim Project,Kukna,OT,Zephaniah,Stage 2 (Community Check),53
Paschim Project,Kukna,OT,Zephaniah,Stage 3 (Linguist Check),53
Paschim Project,Kukna,OT,Zephaniah,Stage 4 (Theological Check),53
Paschim Project,Kukna,OT,Zephaniah,Stage 4 (Consultant Check),53
Paschim Project,Kukna,OT,Zephaniah,Stage 5 (Formatting Editing & Publishing),53
Paschim Project,Kukna,OT,Haggai,Stage 1 (Drafting),38
Paschim Project,Kukna,OT,Haggai,Stage 2 (Community Check),38
Paschim Project,Kukna,OT,Haggai,Stage 3 (Linguist Check),38
Paschim Project,Kukna,OT,Haggai,Stage 4 (Theological Check),38
